,Title,Abstract
0,Multigroup analysis of compositions of microbiomes with covariate adjustments and repeated measures,"Microbiome differential abundance analysis methods for two groups are well-established in the literature. However, many microbiome studies involve more than two groups, sometimes even ordered groups such as stages of a disease, and require different types of comparison. Standard pairwise comparisons are inefficient in terms of power and false discovery rates. In this Article, we propose a general framework, ANCOM-BC2, for performing a wide range of multigroup analyses with covariate adjustments and repeated measures. We illustrate our methodology through two real datasets. The first example explores the effects of aridity on the soil microbiome, and the second example investigates the effects of surgical interventions on the microbiome of patients with inflammatory bowel disease."
1,RENGE infers gene regulatory networks using time-series single-cell RNA-seq data with CRISPR perturbations,"Single-cell RNA-seq analysis coupled with CRISPR-based perturbation has enabled the inference of gene regulatory networks with causal relationships. However, a snapshot of single-cell CRISPR data may not lead to an accurate inference, since a gene knockout can influence multi-layered downstream over time. Here, we developed RENGE, a computational method that infers gene regulatory networks using a time-series single-cell CRISPR dataset. RENGE models the propagation process of the effects elicited by a gene knockout on its regulatory network. It can distinguish between direct and indirect regulations, which allows for the inference of regulations by genes that are not knocked out. RENGE therefore outperforms current methods in the accuracy of inferring gene regulatory networks. When used on a dataset we derived from human-induced pluripotent stem cells, RENGE yielded a network consistent with multiple databases and literature. Accurate inference of gene regulatory networks by RENGE would enable the identification of key factors for various biological systems."
2,ACIDES: on-line monitoring of forward genetic screens for protein engineering,"Forward genetic screens of mutated variants are a versatile strategy for protein engineering and investigation, which has been successfully applied to various studies like directed evolution (DE) and deep mutational scanning (DMS). While next-generation sequencing can track millions of variants during the screening rounds, the vast and noisy nature of the sequencing data impedes the estimation of the performance of individual variants. Here, we propose ACIDES that combines statistical inference and in-silico simulations to improve performance estimation in the library selection process by attributing accurate statistical scores to individual variants. We tested ACIDES first on a random-peptide-insertion experiment and then on multiple public datasets from DE and DMS studies. ACIDES allows experimentalists to reliably estimate variant performance on the fly and can aid protein engineering and research pipelines in a range of applications, including gene therapy."
3,Revealing hidden patterns in deep neural network feature space continuum via manifold learning,"Deep neural networks (DNNs) extract thousands to millions of task-specific features during model training for inference and decision-making. While visualizing these features is critical for comprehending the learning process and improving the performance of the DNNs, existing visualization techniques work only for classification tasks. For regressions, the feature points lie on a high dimensional continuum having an inherently complex shape, making a meaningful visualization of the features intractable. Given that the majority of deep learning applications are regression-oriented, developing a conceptual framework and computational method to reliably visualize the regression features is of great significance. Here, we introduce a manifold discovery and analysis (MDA) method for DNN feature visualization, which involves learning the manifold topology associated with the output and target labels of a DNN. MDA leverages the acquired topological information to preserve the local geometry of the feature space manifold and provides insightful visualizations of the DNN features, highlighting the appropriateness, generalizability, and adversarial robustness of a DNN. The performance and advantages of the MDA approach compared to the existing methods are demonstrated in different deep learning applications."
4,Transcriptional state dynamics lead to heterogeneity and adaptive tumor evolution in urothelial bladder carcinoma,"Intra-tumor heterogeneity contributes to treatment failure and poor survival in urothelial bladder carcinoma (UBC). Analyzing transcriptome from a UBC cohort, we report that intra-tumor transcriptomic heterogeneity indicates co-existence of tumor cells in epithelial and mesenchymal-like transcriptional states and bi-directional transition between them occurs within and between tumor subclones. We model spontaneous and reversible transition between these partially heritable states in cell lines and characterize their population dynamics. SMAD3, KLF4 and PPARG emerge as key regulatory markers of the transcriptional dynamics. Nutrient limitation, as in the core of large tumors, and radiation treatment perturb the dynamics, initially selecting for a transiently resistant phenotype and then reconstituting heterogeneity and growth potential, driving adaptive evolution. Dominance of transcriptional states with low 
PPARG
 expression indicates an aggressive phenotype in UBC patients. We propose that phenotypic plasticity and dynamic, non-genetic intra-tumor heterogeneity modulate both the trajectory of disease progression and adaptive treatment response in UBC."
5,Spatiotemporal signaling underlies progressive vascular rarefaction in myocardial infarction,"Therapeutic angiogenesis represents a promising avenue to revascularize the ischemic heart. Its limited success is partly due to our poor understanding of the cardiac stroma, specifically mural cells, and their response to ischemic injury. Here, we combine single-cell and positional transcriptomics to assess the behavior of mural cells within the healing heart. In response to myocardial infarction, mural cells adopt an altered state closely associated with the infarct and retain a distinct lineage from fibroblasts. This response is concurrent with vascular rarefaction and reduced vascular coverage by mural cells. Positional transcriptomics reveals that the infarcted heart is governed by regional-dependent and temporally regulated programs. While the remote zone acts as an important source of pro-angiogenic signals, the infarct zone is accentuated by chronic activation of anti-angiogenic, pro-fibrotic, and inflammatory cues. Together, our work unveils the spatiotemporal programs underlying cardiac repair and establishes an association between vascular deterioration and mural cell dysfunction."
6,JOINTLY: interpretable joint clustering of single-cell transcriptomes,"Single-cell and single-nucleus RNA-sequencing (sxRNA-seq) is increasingly being used to characterise the transcriptomic state of cell types at homeostasis, during development and in disease. However, this is a challenging task, as biological effects can be masked by technical variation. Here, we present JOINTLY, an algorithm enabling joint clustering of sxRNA-seq datasets across batches. JOINTLY performs on par or better than state-of-the-art batch integration methods in clustering tasks and outperforms other intrinsically interpretable methods. We demonstrate that JOINTLY is robust against over-correction while retaining subtle cell state differences between biological conditions and highlight how the interpretation of JOINTLY can be used to annotate cell types and identify active signalling programs across cell types and pseudo-time. Finally, we use JOINTLY to construct a reference atlas of white adipose tissue (WATLAS), an expandable and comprehensive community resource, in which we describe four adipocyte subpopulations and map compositional changes in obesity and between depots."
7,Deciphering driver regulators of cell fate decisions from single-cell transcriptomics data with CEFCON,"Single-cell technologies enable the dynamic analyses of cell fate mapping. However, capturing the gene regulatory relationships and identifying the driver factors that control cell fate decisions are still challenging. We present CEFCON, a network-based framework that first uses a graph neural network with attention mechanism to infer a cell-lineage-specific gene regulatory network (GRN) from single-cell RNA-sequencing data, and then models cell fate dynamics through network control theory to identify driver regulators and the associated gene modules, revealing their critical biological processes related to cell states. Extensive benchmarking tests consistently demonstrated the superiority of CEFCON in GRN construction, driver regulator identification, and gene module identification over baseline methods. When applied to the mouse hematopoietic stem cell differentiation data, CEFCON successfully identified driver regulators for three developmental lineages, which offered useful insights into their differentiation from a network control perspective. Overall, CEFCON provides a valuable tool for studying the underlying mechanisms of cell fate decisions from single-cell RNA-seq data."
8,Merizo: a rapid and accurate protein domain segmentation method using invariant point attention,"The AlphaFold Protein Structure Database, containing predictions for over 200 million proteins, has been met with enthusiasm over its potential in enriching structural biological research and beyond. Currently, access to the database is precluded by an urgent need for tools that allow the efficient traversal, discovery, and documentation of its contents. Identifying domain regions in the database is a non-trivial endeavour and doing so will aid our understanding of protein structure and function, while facilitating drug discovery and comparative genomics. Here, we describe a deep learning method for domain segmentation called Merizo, which learns to cluster residues into domains in a bottom-up manner. Merizo is trained on CATH domains and fine-tuned on AlphaFold2 models via self-distillation, enabling it to be applied to both experimental and AlphaFold2 models. As proof of concept, we apply Merizo to the human proteome, identifying 40,818 putative domains that can be matched to CATH representative domains."
9,A data analysis framework for combining multiple batches increases the power of isobaric proteomics experiments,"We present a framework for the analysis of multiplexed mass spectrometry proteomics data that reduces estimation error when combining multiple isobaric batches. Variations in the number and quality of observations have long complicated the analysis of isobaric proteomics data. Here we show that the power to detect statistical associations is substantially improved by utilizing models that directly account for known sources of variation in the number and quality of observations that occur across batches.
In a multibatch benchmarking experiment, our open-source software (msTrawler) increases the power to detect changes, especially in the range of less than twofold changes, while simultaneously increasing quantitative proteome coverage by utilizing more low-signal observations. Further analyses of previously published multiplexed datasets of 4 and 23 batches highlight both increased power and the ability to navigate complex missing data patterns without relying on unverifiable imputations or discarding reliable measurements."
10,Pathway centric analysis for single-cell RNA-seq and spatial transcriptomics data with GSDensity,"Advances in single-cell technology have enabled molecular dissection of heterogeneous biospecimens at unprecedented scales and resolutions. Cluster-centric approaches are widely applied in analyzing single-cell data, however they have limited power in dissecting and interpreting highly heterogenous, dynamically evolving data. Here, we present GSDensity, a graph-modeling approach that allows users to obtain pathway-centric interpretation and dissection of single-cell and spatial transcriptomics (ST) data without performing clustering. Using pathway gene sets, we show that GSDensity can accurately detect biologically distinct cells and reveal novel cell-pathway associations ignored by existing methods. Moreover, GSDensity, combined with trajectory analysis can identify curated pathways that are active at various stages of mouse brain development. Finally, GSDensity can identify spatially relevant pathways in mouse brains and human tumors including those following high-order organizational patterns in the ST data. Particularly, we create a pan-cancer ST map revealing spatially relevant and recurrently active pathways across six different tumor types."
11,High-throughput deconvolution of 3D organoid dynamics at cellular resolution for cancer pharmacology with Cellos,"Three-dimensional (3D) organoid cultures are flexible systems to interrogate cellular growth, morphology, multicellular spatial architecture, and cellular interactions in response to treatment. However, computational methods for analysis of 3D organoids with sufficiently high-throughput and cellular resolution are needed. Here we report Cellos, an accurate, high-throughput pipeline for 3D organoid segmentation using classical algorithms and nuclear segmentation using a trained Stardist-3D convolutional neural network. To evaluate Cellos, we analyze ~100,000 organoids with ~2.35 million cells from multiple treatment experiments. Cellos segments dye-stained or fluorescently-labeled nuclei and accurately distinguishes distinct labeled cell populations within organoids. Cellos can recapitulate traditional luminescence-based drug response of cells with complex drug sensitivities, while also quantifying changes in organoid and nuclear morphologies caused by treatment as well as cell-cell spatial relationships that reflect ecological affinity. Cellos provides powerful tools to perform high-throughput analysis for pharmacological testing and biological investigation of organoids based on 3D imaging."
12,LinRace: cell division history reconstruction of single cells using paired lineage barcode and gene expression data,"Lineage tracing technology using CRISPR/Cas9 genome editing has enabled simultaneous readouts of gene expressions and lineage barcodes in single cells, which allows for inference of cell lineage and cell types at the whole organism level. While most state-of-the-art methods for lineage reconstruction utilize only the lineage barcode data, methods that incorporate gene expressions are emerging. Effectively incorporating the gene expression data requires a reasonable model of how gene expression data changes along generations of divisions. Here, we present LinRace (Lineage Reconstruction with asymmetric cell division model), which integrates lineage barcode and gene expression data using asymmetric cell division model and infers cell lineages and ancestral cell states using Neighbor-Joining and maximum-likelihood heuristics. On both simulated and real data, LinRace outputs more accurate cell division trees than existing methods. With inferred ancestral states, LinRace can also show how a progenitor cell generates a large population of cells with various functionalities."
